PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
11,2026-02-13,13:55:52.17,"Thompson, Paxton",801505,Right,,,Slider,Live,,80.04838,2.495521823,-1.107510487,2316.624148,76.44362538,8:30,4.74299,2.097,5.44202,-48.97728,-3.70933,-15.26892,2.99976,-0.21238,71.75799,-6.717914484,-3.988924307,0.4842468504,7.7656,-2.86085,-1.98906,50,4.93073,2.71488,-116.10733,3.55271,10.33328,26.84945,-35.98083,21d5d18a-27ad-43e6-a646-f770af2ce8ae,6f52afdc-2aac-4184-b60b-0d217b3293b4,77.83724,Pitching,25070091,,,,,,,,,,,,,,,,,,,56.80973371,51.85838428,1430.763957,0.617607288,8:00
12,2026-02-13,13:56:21.96,"Thompson, Paxton",801505,Right,,,Cutter,Live,,88.61331,-1.62230963,-4.662247487,1970.216785,201.4088214,12:45,4.79616,2.0887,,-27.05714,10.43668,4.11246,0.99485,-2.00704,80.83487,-6.57314413,-3.908147034,0.4407082998,-3.45888,5.85634,-1.61593,50,4.60631,10.29918,-128.25183,-4.69691,-5.74575,27.18264,-22.44574,125dc1c5-2a81-4a25-8f91-ffe3aece1305,6f52afdc-2aac-4184-b60b-0d217b3293b4,,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
13,2026-02-13,13:56:46.43,"Thompson, Paxton",801505,Right,,,Slider,Live,,80.33103,0.7593654879,-1.038810089,2323.493363,102.278274,9:30,4.69818,2.10846,5.92284,-41.20623,2.74006,-12.74529,1.96902,0.08243,72.2963,-7.043061277,-3.463126214,0.4771253873,6.56163,1.22523,-2.01838,50,4.73587,2.48103,-116.74647,0.37047,8.84668,26.71587,-30.52215,305438d5-da1c-47ef-88c7-7d8856af5677,6f52afdc-2aac-4184-b60b-0d217b3293b4,78.99902,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
14,2026-02-13,13:57:18.07,"Thompson, Paxton",801505,Right,,,Fastball,Live,,91.97134,-2.172246755,-3.277197747,2386.821647,217.2798241,1:15,4.8346,1.93028,6.27295,-14.69601,18.64052,14.20065,1.60355,0.0898,81.84989,-4.987933976,-0.5519888115,0.4155579339,-8.99429,11.04182,-1.69513,50,4.667,7.20842,-133.43639,-5.51694,-15.77062,36.06613,-12.81328,b4c16e29-2f02-4200-9e95-606d67e9c9f5,6f52afdc-2aac-4184-b60b-0d217b3293b4,90.70321,Pitching,25070091,,,,,,,,,,,,,,,,,,,,16.9622745,2282.987879,0.9564970562,
15,2026-02-13,13:57:55.39,"Thompson, Paxton",801505,Right,,,Cutter,Live,,86.48827,-0.4033181099,-1.855961838,1964.789363,186.5648495,12:15,4.72961,1.9863,5.94426,-29.11539,8.42406,0.97352,1.92908,0.34555,78.32606,-5.899995137,-1.671568506,0.4409764613,-1.11128,4.69286,-1.83926,50,4.6813,4.04478,-125.75232,-1.78577,-1.75722,28.47928,-24.75343,b995da25-0cbc-4903-871c-0771eb2ec3d6,6f52afdc-2aac-4184-b60b-0d217b3293b4,85.47495,Pitching,25070091,,,,,,,,,,,,,,,,,,,,77.7999468,415.2104955,0.211325704,
16,2026-02-13,13:58:35.31,"Thompson, Paxton",801505,Right,,,Fastball,Live,,91.89045,0.5510603942,-1.470933532,2229.502908,,,4.8401,1.99355,6.00836,,,,3.9304,1.93148,81.43937,,,0.4179186012,-9.06102,8.89479,-1.8866,50,4.87418,2.92888,-133.48367,0.73969,-15.84463,36.97656,-16.62011,2b826a60-b540-421c-b1b1-d74d6e229aa3,6f52afdc-2aac-4184-b60b-0d217b3293b4,90.19086,Pitching,25070091,,,,,,,,,,,,,,,,,,,,20.22588418,2092.024922,0.9383369336,
17,2026-02-13,14:00:55.83,"Thompson, Paxton",801505,Right,,,ChangeUp,Live,,82.75278,0.7163355495,-1.411818795,1160.027624,266.1288135,2:45,4.77907,1.98897,5.98571,-40.20701,1.06923,16.38822,2.09256,2.04605,74.43476,-6.911485091,1.711567595,0.462403922,-9.39998,0.33641,-1.88666,50,4.81364,2.48703,-120.27431,0.33339,-13.46694,28.10335,-31.69209,17dd6af8-c6cf-4d98-a46c-4b2852a858eb,6f52afdc-2aac-4184-b60b-0d217b3293b4,81.5141,Pitching,25070091,,,,,,,,,,,,,,,,,,,,20.85352606,1084.038304,0.9344935255,
18,2026-02-13,14:01:21.98,"Thompson, Paxton",801505,Right,,,ChangeUp,Live,,82.79175,0.5026059689,-2.908406489,1151.888885,259.9596225,2:45,4.85585,1.91233,6.42979,-37.11672,3.37015,19.29797,2.22527,0.8455,74.59666,-6.588567577,0.79178294,0.4579610343,-11.63147,1.69384,-1.71431,50,4.87486,5.59736,-120.34057,0.06356,-16.73252,27.49428,-29.73736,0fa00213-def1-4a99-b009-0b3b5219905e,6f52afdc-2aac-4184-b60b-0d217b3293b4,82.3049,Pitching,25070091,,,,,,,,,,,,,,,,,,,,20.50337495,1078.91852,0.936651559,
19,2026-02-13,14:01:40.84,"Thompson, Paxton",801505,Right,,,ChangeUp,Live,,82.36758,2.073098668,-2.170465399,1174.131859,252.3146261,2:30,4.74464,1.92426,6.07539,-35.75248,5.72857,18.15352,3.68539,1.4281,73.94694,-4.728403486,1.289068253,0.4635497166,-10.62445,2.4331,-1.76616,50,4.88608,4.01596,-119.64065,3.3129,-15.10908,27.14063,-28.71393,03872872-719d-4b89-a362-cf7a7665ee53,6f52afdc-2aac-4184-b60b-0d217b3293b4,81.31261,Pitching,25070091,,,,,,,,,,,,,,,,,,,,26.72567371,1048.699309,0.893169963,
20,2026-02-13,14:02:01.48,"Thompson, Paxton",801505,Right,,,Cutter,Live,,88.11149,-1.004788675,-4.008798989,1957.43283,208.7918455,1:00,4.72191,2.03109,6.1722,-24.29208,11.55868,6.37906,1.76733,-1.1453,80.01719,-5.596962408,-2.801438613,0.4309437499,-4.69249,6.61336,-1.73114,50,4.63347,8.77313,-127.93746,-2.98385,-7.71449,28.39049,-21.30163,ca390a31-7513-4b3f-88c0-e0234c37fa00,6f52afdc-2aac-4184-b60b-0d217b3293b4,87.46487,Pitching,25070091,,,,,,,,,,,,,,,,,,,,59.5549728,991.853596,0.5067114339,
21,2026-02-13,14:02:23.45,"Thompson, Paxton",801505,Right,,,Cutter,Live,,86.72978,-0.9125292469,-2.745039153,1930.886648,196.701087,12:30,4.7553,1.93423,6.13255,-25.90374,11.00887,3.31491,1.75231,-0.32828,78.95992,-5.802963129,-2.117432057,0.4372791539,-2.62247,6.27033,-1.7266,50,4.67224,5.94651,-126.10219,-2.78971,-4.19481,27.22709,-22.14424,c352a02a-a682-43b9-945f-50e77fd0986d,6f52afdc-2aac-4184-b60b-0d217b3293b4,86.19766,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
22,2026-02-13,14:04:06.57,"Thompson, Paxton",801505,Right,,,Fastball,Live,,92.33854,-1.512962238,-3.557570061,2361.516991,211.512658,1:00,4.86737,1.83554,6.16509,-13.0723,20.19282,12.40444,2.37765,-0.42067,81.92157,-4.018293469,-1.180679035,0.4151126271,-8.1035,11.62991,-1.57234,50,4.74613,7.94042,-133.93495,-3.95165,-14.2877,36.83558,-11.66875,fa2293ff-b6ec-4c69-ba14-bef171a633de,77dd5244-2398-4538-8531-ac231d17bc68,90.80051,Pitching,25070091,,,,,,,,,,,,,,,,,,,223.4096403,31.14176347,2021.199606,0.8558903509,1:30
23,2026-02-13,14:04:31.38,"Thompson, Paxton",801505,Right,,,Cutter,Live,,86.75572,-0.8648231506,-3.252656174,2113.080005,179.9344906,12:00,4.73156,1.99076,6.14948,-29.20976,7.65441,-0.0088,1.4971,-1.01816,79.18605,-6.368648599,-3.254319555,0.4369921756,-0.95249,4.42716,-1.74359,50,4.65075,7.16634,-126.09525,-2.78259,-1.52503,26.96976,-25.08572,b973a9e5-9529-4f43-8c52-eb1e4c589b92,77dd5244-2398-4538-8531-ac231d17bc68,86.25427,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
24,2026-02-13,14:04:58.52,"Thompson, Paxton",801505,Right,,,Slider,Live,,81.55499,0.3519575914,-2.41309309,2209.744867,103.3406849,9:30,4.73184,2.0916,5.98271,-40.04532,2.53308,-10.82912,1.72121,-1.0485,73.50204,-7.223834467,-4.470581525,0.4696410446,5.05998,1.25687,-1.8954,50,4.73781,5.30282,-118.46427,-0.42013,7.02688,27.43314,-30.42861,8b2ea15e-da09-4c67-983f-1c61a9b171bf,77dd5244-2398-4538-8531-ac231d17bc68,80.25797,Pitching,25070091,,,,,,,,,,,,,,,,,,,56.51638504,64.91127473,936.978705,0.4240212157,8:00
25,2026-02-13,14:05:25.47,"Thompson, Paxton",801505,Right,,,Fastball,Live,,91.61396,-1.214325882,-2.872395467,2378.095623,212.2092583,1:00,4.7466,2.02911,6.28462,-14.23733,19.29459,12.17684,2.43959,0.39475,81.46568,-3.94641475,-0.534067594,0.4167740229,-7.74042,11.06319,-1.82348,50,4.65036,6.30646,-133.03473,-3.2544,-13.4864,35.92751,-12.89827,1ee507a7-59f6-47a4-b74c-2b329c4657f9,77dd5244-2398-4538-8531-ac231d17bc68,90.43855,Pitching,25070091,,,,,,,,,,,,,,,,,,,,21.45910963,2213.243401,0.9306788925,
26,2026-02-13,14:05:57.34,"Thompson, Paxton",801505,Right,,,Slider,Live,,80.16218,1.038409287,-2.006036029,2158.869358,80.35316606,8:45,4.68712,2.12395,5.65372,-46.22239,-1.69246,-9.77933,1.80427,-0.56239,72.40232,-7.649640935,-3.852712758,0.4802831981,4.57942,-1.26,-1.94818,50,4.74633,4.36993,-116.40372,0.72753,6.15622,25.96932,-33.8679,1bd383a3-1ce6-4799-bcea-8b484843ca37,77dd5244-2398-4538-8531-ac231d17bc68,78.47961,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
27,2026-02-13,14:06:32.04,"Thompson, Paxton",801505,Right,,,Slider,Live,,81.02976,0.07747981148,-2.649978109,2291.268401,120.3954516,10:00,4.75749,2.04137,6.24984,-36.46473,6.39456,-10.97273,1.79029,-1.3183,72.7254,-6.868101455,-4.748122671,0.4711876077,5.08562,3.48874,-1.8394,50,4.74556,5.74417,-117.71078,-0.82452,6.94235,27.97471,-27.41159,481a76ce-5558-4a7a-93bc-878e6911bb2b,77dd5244-2398-4538-8531-ac231d17bc68,79.99455,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
