PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
11,2026-02-04,11:19:51.98,"Thompson, Paxton",801505,Right,,,Sweeper,Live,,81.73096,1.687429929,-1.79829115,2306.653495,96.58367085,9:15,4.80253,2.20508,5.82787,-41.19313,1.53468,-13.49844,2.9394,-0.59178,73.32939,-6.111576114,-4.359973357,0.4704643407,6.67779,0.23935,-2.05063,50,4.91639,4.12397,-118.66726,2.28232,9.28796,27.9129,-31.84115,c2835651-8f79-4fe7-a540-816b41c8380f,fdc4172a-a4b7-4bb2-ad70-de102f110c86,80.11753,Pitching,25070091,,,,,,,,,,,,,,,,,,,44.3987773,67.41547187,885.8610703,0.3840460096,7:30
12,2026-02-04,11:20:14.06,"Thompson, Paxton",801505,Right,,,Fastball,Live,,91.63131,-0.9897775606,-2.514023027,2491.776491,204.8589749,12:45,4.92826,2.22356,6.20177,-12.64514,20.94127,9.71987,2.96002,0.71178,81.49831,-3.412960008,-0.6505278047,0.4171124604,-6.2369,11.85137,-2.03971,50,4.84769,5.54425,-133.09219,-2.691,-10.88291,35.79854,-11.49432,18ced0be-e2a4-4a92-a0dc-f59b15736291,fdc4172a-a4b7-4bb2-ad70-de102f110c86,90.36517,Pitching,25070091,,,,,,,,,,,,,,,,,,,,21.98939087,2310.507731,0.9272532024,
13,2026-02-04,11:20:35.02,"Thompson, Paxton",801505,Right,,,ChangeUp,Live,,83.97819,1.096793542,-0.4036530091,1095.664907,261.109247,2:45,4.69498,2.29166,5.31358,-39.30388,1.93632,12.60687,2.44908,2.96343,75.16944,-6.288418866,1.973786076,0.4622019328,-6.84399,0.64492,-2.26394,50,4.76679,0.44253,-121.89489,1.03603,-10.04304,29.47245,-31.22767,5f627a76-feab-4695-a7a7-83db3a6bd1ac,fdc4172a-a4b7-4bb2-ad70-de102f110c86,81.54972,Pitching,25070091,,,,,,,,,,,,,,,,,,,,-0.7491031701,1095.571263,0.9999145323,
14,2026-02-04,11:21:40.10,"Thompson, Paxton",801505,Right,,,Sweeper,Live,,79.76579,1.032175441,-0.3585978812,2311.69929,81.52136648,8:45,4.78039,2.25712,5.74104,-46.89717,-2.02663,-13.35233,1.83335,0.81058,71.87867,-7.813978366,-2.891566089,0.4821165587,7.07961,-1.44922,-2.21935,50,4.83804,1.11659,-115.8955,0.71403,9.40985,26.25575,-34.10028,626a1e64-dacb-4c5b-ab93-f180f21c1e2d,fdc4172a-a4b7-4bb2-ad70-de102f110c86,78.18117,Pitching,25070091,,,,,,,,,,,,,,,,,,,27.52231956,54.96422249,1327.118434,0.574087832,7:00
15,2026-02-04,11:22:06.67,"Thompson, Paxton",801505,Right,,,Cutter,Live,,87.45379,-1.187180114,-2.854032797,1972.189649,169.1195712,11:45,4.69293,2.10612,6.30959,-30.70457,5.51943,-1.06803,1.03925,-0.61377,79.50413,-7.000446314,-3.057211379,0.4331812213,-0.30337,3.40076,-1.89677,50,4.59131,6.36906,-127.13091,-3.53312,-0.49075,28.87216,-26.67264,306b15fc-4296-4fae-82e7-846755f579e6,fdc4172a-a4b7-4bb2-ad70-de102f110c86,87.0131,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
16,2026-02-04,11:22:44.38,"Thompson, Paxton",801505,Right,,,Sweeper,Live,,82.3463,0.3095121463,-1.677066423,2524.501426,76.80938351,8:30,4.81769,2.2392,5.71378,-46.32256,-4.02694,-17.04967,1.2459,-0.74416,74.23249,-8.404915437,-4.906875301,0.4680789223,8.60168,-2.2819,-2.08882,50,4.81561,4.01765,-119.57989,-0.75705,12.13073,28.65074,-35.39216,b0771614-90a2-4c4a-bb38-efd5504c0728,fdc4172a-a4b7-4bb2-ad70-de102f110c86,80.52582,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
17,2026-02-04,11:23:04.48,"Thompson, Paxton",801505,Right,,,Fastball,Live,,92.23773,-0.6968397656,-3.216386337,2549.248481,213.591459,1:00,4.87787,2.03916,6.24457,-13.21458,19.83427,13.20574,3.133,0.17041,82.18795,-3.228614605,-0.6871360651,0.4137609902,-8.38462,11.14335,-1.80653,50,4.81962,7.11984,-133.93369,-2.03849,-14.85494,35.56775,-12.43151,bdbcd0f3-e83a-4374-8bb8-0328ad362d08,fdc4172a-a4b7-4bb2-ad70-de102f110c86,91.09713,Pitching,25070091,,,,,,,,,,,,,,,,,,,,20.54594612,2387.09347,0.9363910529,
18,2026-02-04,11:23:37.07,"Thompson, Paxton",801505,Right,,,Cutter,Live,,88.45359,-1.887530426,-4.519532968,2251.167963,206.4332266,1:00,4.81868,2.20433,6.21777,-27.25386,7.99663,3.99506,0.79993,-1.64139,81.34686,-6.998057202,-3.767951136,0.4273207461,-3.40524,4.87428,-1.86796,50,4.66343,10.02781,-128.39541,-5.07115,-5.69861,25.96275,-24.01703,2c066e09-c796-47ff-b116-b0a53ab2d6b5,fdc4172a-a4b7-4bb2-ad70-de102f110c86,88.20643,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
19,2026-02-04,11:24:07.84,"Thompson, Paxton",801505,Right,,,Cutter,Live,,88.41544,-0.3306511496,-3.954541703,1858.613303,206.4752399,1:00,4.80949,2.06781,6.1955,-28.38485,7.2461,3.63153,2.13814,-1.28559,80.18773,-5.703239595,-3.266416515,0.4296206233,-3.2056,4.06319,-1.77216,50,4.7703,8.76613,-128.39115,-1.59852,-5.29517,29.16218,-25.46226,1900f0a4-2dfe-4b5c-bded-9b19fcf45ecb,fdc4172a-a4b7-4bb2-ad70-de102f110c86,87.73424,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
20,2026-02-04,11:24:31.48,"Thompson, Paxton",801505,Right,,,Sweeper,Live,,81.28805,1.965194903,-1.010073069,2269.198283,99.80097751,9:15,4.7832,2.26872,5.70784,-41.11379,2.40968,-14.10378,3.18874,0.15237,72.581,-5.825297697,-3.688988617,0.4748245211,7.24534,0.5906,-2.17574,50,4.9228,2.50155,-117.98896,2.82102,9.92655,28.32801,-31.36489,9f78071b-c24d-47f7-bcfc-41831274a664,fdc4172a-a4b7-4bb2-ad70-de102f110c86,79.38183,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
21,2026-02-04,11:24:55.49,"Thompson, Paxton",801505,Right,,,Cutter,Live,,88.3551,-1.64097888,-3.869636868,2043.129191,206.9834182,1:00,4.72311,2.21093,6.19711,-25.87662,9.67955,4.94793,1.0482,-0.95392,80.54433,-6.520444116,-2.933699917,0.4291694873,-3.84586,5.77152,-1.92247,50,4.58653,8.52894,-128.30281,-4.46624,-6.37257,28.0199,-22.61067,efd8b47c-42fa-454b-ab19-8d2d4ff4faa6,fdc4172a-a4b7-4bb2-ad70-de102f110c86,87.82647,Pitching,25070091,,,,,,,,,,,,,,,,,,,212.0239517,60.71332708,999.4571084,0.489179594,1:00
22,2026-02-04,11:25:34.27,"Thompson, Paxton",801505,Right,,,ChangeUp,Live,,83.63132,1.093356896,-2.22943003,1111.88272,265.3618709,2:45,4.7545,2.05413,5.76886,-39.60643,0.73406,9.55576,2.47221,0.77493,75.95036,-6.352798301,-0.4274420266,0.4571323322,-5.8233,0.06133,-1.87571,50,4.82111,4.43626,-121.54033,1.09711,-8.62941,25.89476,-32.08317,78ceaa6a-3bec-46ad-a573-d113e9dbde2d,fdc4172a-a4b7-4bb2-ad70-de102f110c86,82.45411,Pitching,25070091,,,,,,,,,,,,,,,,,,,,34.16396147,920.0095179,0.8274339561,
23,2026-02-04,11:25:57.49,"Thompson, Paxton",801505,Right,,,Cutter,Live,,88.56133,-2.075529517,-3.391550045,1910.074786,202.4245198,12:45,4.72758,2.05848,6.29662,-26.35922,8.91025,3.68992,0.61465,-0.76224,80.75113,-7.052117082,-2.69140928,0.4274358025,-3.03673,5.50582,-1.81124,50,4.5623,7.51467,-128.6507,-5.45315,-5.05314,28.46746,-23.01232,7a30cf5d-a561-44cf-8404-54748b3388c6,fdc4172a-a4b7-4bb2-ad70-de102f110c86,88.18269,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
24,2026-02-04,11:26:22.70,"Thompson, Paxton",801505,Right,,,Sweeper,Live,,82.24825,2.782423205,-0.6116133685,,,,4.87417,2.32631,5.83943,-34.46112,7.8583,-10.13825,4.59019,0.91309,73.15049,-3.777810644,-2.543346759,0.4682106187,5.27524,3.25787,-2.27075,50,5.08085,1.57363,-119.35851,4.78329,7.39923,28.90335,-27.60445,67de2e4d-6309-4046-9ab4-eb3bf8dacc33,fdc4172a-a4b7-4bb2-ad70-de102f110c86,80.50317,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
25,2026-02-04,11:26:48.43,"Thompson, Paxton",801505,Right,,,Sweeper,Live,,81.26043,-0.3285624354,-1.380032065,2434.113832,79.1216212,8:45,4.74616,2.25981,5.8493,-45.21951,-2.24507,-11.49063,0.67251,0.01984,73.62968,-8.834041033,-3.559329204,0.4718201624,5.75268,-1.10404,-2.1412,50,4.69348,3.18219,-118.09503,-2.00438,7.9573,26.79436,-33.70119,c958a2a5-2f24-4007-8d35-a03ab2634eb0,fdc4172a-a4b7-4bb2-ad70-de102f110c86,79.8873,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
26,2026-02-04,11:27:10.72,"Thompson, Paxton",801505,Right,,,Cutter,Live,,88.07877,-1.524803597,-3.012521454,1963.825276,195.2786517,12:30,4.69996,2.04171,6.2308,-27.30285,8.3891,2.30126,1.01593,-0.54791,80.30883,-6.678371438,-2.576260733,0.4299881654,-2.15613,5.04245,-1.81825,50,4.57262,6.6686,-128.02392,-4.23009,-3.55405,28.11507,-23.86237,b06b40ff-7542-4b93-9f13-3c31d15928e5,fdc4172a-a4b7-4bb2-ad70-de102f110c86,87.65925,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
27,2026-02-04,11:27:33.77,"Thompson, Paxton",801505,Right,,,Cutter,Live,,88.5928,-2.045844052,-4.06696513,2159.9733,209.4008206,1:00,4.69635,2.08015,6.27618,-31.47869,3.89093,2.21013,0.18204,-1.49024,80.85754,-7.975395362,-3.648190307,0.4280422548,-2.44398,2.75316,-1.781,50,4.5298,9.07675,-128.58435,-5.54176,-4.05694,28.78277,-27.60388,ccceaa88-c262-40b4-b999-e259390e5099,fdc4172a-a4b7-4bb2-ad70-de102f110c86,88.05775,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
